,City,Country Code,Lat (appx.),Lng (appx.)
163,raposa,br,-6.5029913640503025,-44.24677296460527
164,catole do rocha,br,-6.5029913640503025,-37.78233358196741
165,cabedelo,br,-6.5029913640503025,-31.317894199329572
166,omboue,ga,-6.5029913640503025,1.0043027138596585
167,mayumba,ga,-6.5029913640503025,7.468742096497493
168,matadi,cd,-6.5029913640503025,13.933181479135328
169,tshikapa,cd,-6.5029913640503025,20.39762086177319
170,kabalo,cd,-6.5029913640503025,26.862060244411026
171,mgandu,tz,-6.5029913640503025,33.32649962704886
172,sokoni,tz,-6.5029913640503025,39.790939009686724
173,mitsamiouli,km,-6.5029913640503025,46.25537839232456
174,victoria,sc,-6.5029913640503025,52.719817774962394
175,hambantota,lk,-6.5029913640503025,85.04201468815165
176,padang,id,-6.5029913640503025,91.50645407078946
177,pringsewu,id,-6.5029913640503025,104.43533283606519
178,jati,id,-6.5029913640503025,110.89977221870299
179,sumbawa,id,-6.5029913640503025,117.36421160134086
180,katobu,id,-6.5029913640503025,123.82865098397872
181,tual,id,-6.5029913640503025,130.29309036661652
182,nabire,id,-6.5029913640503025,136.7575297492544
183,mendi,pg,-6.5029913640503025,143.22196913189225
184,kandrian,pg,-6.5029913640503025,149.68640851453006
185,buin,pg,-6.5029913640503025,156.15084789716792
186,auki,sb,-6.5029913640503025,162.61528727980578
187,lata,sb,-6.5029913640503025,169.0797266624436
188,saleaula,ws,-0.08014454590032472,-167.15429379672946
189,san patricio,mx,-0.08014454590032472,-115.77146898364728
190,manta,ec,-0.08014454590032472,-83.65720347547092
191,nueva loja,ec,-0.08014454590032472,-77.23435037383565
192,mitu,co,-0.08014454590032472,-70.81149727220038
193,santa isabel do rio negro,br,-0.08014454590032472,-64.38864417056512
194,urucara,br,-0.08014454590032472,-57.96579106892983
195,mazagao,br,-0.08014454590032472,-51.54293796729456
196,carutapera,br,-0.08014454590032472,-45.120084865659294
197,itarema,br,-0.08014454590032472,-38.697231764024025
198,touros,br,-0.08014454590032472,-32.274378662388756
199,buchanan,lr,-0.08014454590032472,-13.005819357482949
200,tabou,ci,-0.08014454590032472,-6.582966255847651
201,takoradi,gh,-0.08014454590032472,-0.16011315421238237
202,port-gentil,ga,-0.08014454590032472,6.262739947422887
203,makokou,ga,-0.08014454590032472,12.685593049058156
204,mbandaka,cd,-0.08014454590032472,19.108446150693425
205,kisangani,cd,-0.08014454590032472,25.531299252328694
206,lukaya,ug,-0.08014454590032472,31.954152353963963
207,maua,ke,-0.08014454590032472,38.37700545559923
208,barawe,so,-0.08014454590032472,44.7998585572345
209,hobyo,so,-0.08014454590032472,51.22271165886977
210,thinadhoo,mv,-0.08014454590032472,64.06841786214034
211,viligili,mv,-0.08014454590032472,76.91412406541087
212,meulaboh,id,-0.08014454590032472,89.75983026868141
213,sibolga,id,-0.08014454590032472,96.18268337031668
214,mendahara,id,-0.08014454590032472,102.60553647195195
215,pontianak,id,-0.08014454590032472,109.02838957358722
216,loa janan,id,-0.08014454590032472,115.45124267522249
217,luwuk,id,-0.08014454590032472,121.87409577685776
218,tidore,id,-0.08014454590032472,128.29694887849303
219,manokwari,id,-0.08014454590032472,134.7198019801283
220,vanimo,pg,-0.08014454590032472,141.14265508176356
221,lorengau,pg,-0.08014454590032472,147.56550818339883
222,namatanai,pg,-0.08014454590032472,153.9883612850341
223,kieta,pg,-0.08014454590032472,160.41121438666937
224,tabiauea,ki,-0.08014454590032472,166.8340674883047
225,makakilo city,us,6.342702272249653,-167.07519225771722
226,hilo,us,6.342702272249653,-160.61278838657583
227,cabo san lucas,mx,6.342702272249653,-121.83836515972752
228,lazaro cardenas,mx,6.342702272249653,-108.91355741744474
229,acapulco,mx,6.342702272249653,-102.45115354630335
230,champerico,gt,6.342702272249653,-95.98874967516196
231,santa cruz,cr,6.342702272249653,-89.52634580402058
232,burica,pa,6.342702272249653,-83.06394193287919
233,vigia del fuerte,co,6.342702272249653,-76.6015380617378
234,cravo norte,co,6.342702272249653,-70.13913419059641
235,ciudad bolivar,ve,6.342702272249653,-63.67673031945502
236,new amsterdam,gy,6.342702272249653,-57.21432644831364
237,cayenne,gf,6.342702272249653,-50.75192257717225
238,salinopolis,br,6.342702272249653,-44.28951870603086
239,sao filipe,cv,6.342702272249653,-31.36471096374808
240,goderich,sl,6.342702272249653,-18.4399032214653
241,robertsport,lr,6.342702272249653,-11.97749935032391
242,oume,ci,6.342702272249653,-5.515095479182548
243,tsevie,tg,6.342702272249653,0.9473083919588419
244,enugu,ng,6.342702272249653,7.409712263100232
245,meiganga,cm,6.342702272249653,13.872116134241622
246,bambari,cf,6.342702272249653,20.334520005383013
247,obo,cf,6.342702272249653,26.796923876524403
248,kapoeta,sd,6.342702272249653,33.25932774766579
249,goba,et,6.342702272249653,39.72173161880718
250,eyl,so,6.342702272249653,52.646539361089964
251,bandarbeyla,so,6.342702272249653,59.108943232231354
252,ugoofaaru,mv,6.342702272249653,65.57134710337272
253,kulhudhuffushi,mv,6.342702272249653,72.0337509745141
254,moratuwa,lk,6.342702272249653,78.4961548456555
255,kalmunai,lk,6.342702272249653,84.95855871679692
256,sabang,id,6.342702272249653,91.42096258793828
257,lhokseumawe,id,6.342702272249653,97.88336645907964
258,kuala terengganu,my,6.342702272249653,104.34577033022106
259,miri,my,6.342702272249653,110.80817420136242
260,kudat,my,6.342702272249653,117.27057807250384
261,bantogon,ph,6.342702272249653,123.7329819436452
262,santiago,ph,6.342702272249653,130.19538581478662
263,airai,pw,6.342702272249653,136.65778968592798
264,kavieng,pg,6.342702272249653,156.04500129935218
265,butaritari,ki,6.342702272249653,162.50740517049354
266,kapaa,us,12.765549090399631,-180.0
267,constitucion,mx,12.765549090399631,-127.31497767815856
268,puerto madero,mx,12.765549090399631,-94.38683872700766
269,intipuca,sv,12.765549090399631,-87.80121093677747
270,san andres,co,12.765549090399631,-81.21558314654729
271,santa marta,co,12.765549090399631,-74.62995535631711
272,rincon,an,12.765549090399631,-68.04432756608693
273,hillsborough,gd,12.765549090399631,-61.45869977585676
274,bathsheba,bb,12.765549090399631,-54.87307198562657
275,sinnamary,gf,12.765549090399631,-48.287444195396404
276,praia,cv,12.765549090399631,-21.944933034475667
277,sedhiou,sn,12.765549090399631,-15.35930524424549
278,kati,ml,12.765549090399631,-8.773677454015314
279,yako,bf,12.765549090399631,-2.1880496637851365
280,birnin kebbi,ng,12.765549090399631,4.397578126445069
281,gashua,ng,12.765549090399631,10.983205916675246
282,bokoro,td,12.765549090399631,17.568833706905423
283,kutum,sd,12.765549090399631,24.1544614971356
284,umm ruwabah,sd,12.765549090399631,30.740089287365777
285,gondar,et,12.765549090399631,37.325717077595954
286,lahij,ye,12.765549090399631,43.91134486782613
287,bereda,so,12.765549090399631,50.49697265805631
288,salalah,om,12.765549090399631,57.082600448286485
289,kavaratti,in,12.765549090399631,63.66822823851669
290,nagamangala,in,12.765549090399631,76.83948381897704
291,kattivakkam,in,12.765549090399631,83.42511160920719
292,port blair,in,12.765549090399631,90.0107393994374
293,mergui,mm,12.765549090399631,96.5963671896676
294,bo rai,th,12.765549090399631,103.18199497989775
295,tuy hoa,vn,12.765549090399631,109.76762277012796
296,bacuit,ph,12.765549090399631,116.3532505603581
297,san rafael,ph,12.765549090399631,122.93887835058831
298,san policarpo,ph,12.765549090399631,129.52450614081846
299,nanakuli,us,19.18839590854961,-159.5979838379874
300,lompoc,us,19.18839590854961,-132.39529562197066
301,guerrero negro,mx,19.18839590854961,-125.59462356796645
302,xalmimilulco,mx,19.18839590854961,-98.39193535194968
303,isla aguada,mx,19.18839590854961,-91.59126329794549
304,cozumel,mx,19.18839590854961,-84.7905912439413
305,montego bay,jm,19.18839590854961,-77.9899191899371
306,san ignacio de sabaneta,do,19.18839590854961,-71.1892471359329
307,road town,vg,19.18839590854961,-64.3885750819287
308,codrington,ag,19.18839590854961,-57.58790302792451
309,ponta do sol,cv,19.18839590854961,-37.185886865911925
310,pombas,cv,19.18839590854961,-23.584542757903534
311,nouakchott,mr,19.18839590854961,-16.783870703899368
312,atar,mr,19.18839590854961,-9.983198649895172
313,araouane,ml,19.18839590854961,-3.1825265958909768
314,kidal,ml,19.18839590854961,3.6181454581132186
315,bilma,ne,19.18839590854961,10.418817512117414
316,faya,td,19.18839590854961,17.21948956612161
317,marawi,sd,19.18839590854961,30.82083367413
318,sawakin,sd,19.18839590854961,37.621505728134196
319,najran,sa,19.18839590854961,44.42217778213839
320,ibra,om,19.18839590854961,58.02352189014678
321,dwarka,in,19.18839590854961,64.82419394415098
322,vasai,in,19.18839590854961,71.62486599815517
323,nirmal,in,19.18839590854961,78.42553805215937
324,chatrapur,in,19.18839590854961,85.22621010616353
325,akyab,mm,19.18839590854961,92.02688216016776
326,sansai,th,19.18839590854961,98.82755421417193
327,vinh,vn,19.18839590854961,105.62822626817615
328,wanning,cn,19.18839590854961,112.42889832218032
329,davila,ph,19.18839590854961,119.22957037618454
330,san vicente,ph,19.18839590854961,126.03024243018871
331,nishihara,jp,19.18839590854961,132.83091448419293
332,katsuura,jp,19.18839590854961,153.2329306462055
333,kahului,us,25.611242726699587,-151.50934059800232
334,san quintin,mx,25.611242726699587,-123.01868119600468
335,adolfo ruiz cortines,mx,25.611242726699587,-108.77335149500584
336,general cepeda,mx,25.611242726699587,-101.65068664450644
337,brownsville,us,25.611242726699587,-94.52802179400702
338,panaba,mx,25.611242726699587,-87.4053569435076
339,cutler,us,25.611242726699587,-80.2826920930082
340,cockburn town,bs,25.611242726699587,-73.16002724250878
341,cockburn town,tc,25.611242726699587,-66.03736239200936
342,the valley,ai,25.611242726699587,-58.91469754150994
343,los llanos de aridane,es,25.611242726699587,-23.301373289012872
344,santa lucia,es,25.611242726699587,-16.17870843851344
345,tiznit,ma,25.611242726699587,-9.056043588014035
346,adrar,dz,25.611242726699587,-1.93337873751463
347,gat,ly,25.611242726699587,5.189286112984803
348,awbari,ly,25.611242726699587,12.311950963484207
349,awjilah,ly,25.611242726699587,19.434615813983612
350,abnub,eg,25.611242726699587,26.557280664483045
351,luxor,eg,25.611242726699587,33.67994551498245
352,buraydah,sa,25.611242726699587,40.80261036548188
353,riyadh,sa,25.611242726699587,47.92527521598129
354,dubai,ae,25.611242726699587,55.04794006648069
355,gwadar,pk,25.611242726699587,62.170604916980125
356,pithoro,pk,25.611242726699587,69.29326976747953
357,lakheri,in,25.611242726699587,76.41593461797896
358,ghazipur,in,25.611242726699587,83.53859946847837
359,tura,in,25.611242726699587,90.66126431897777
360,myitkyina,mm,25.611242726699587,97.78392916947718
361,xingyi,cn,25.611242726699587,104.90659401997664
362,lianzhou,cn,25.611242726699587,112.02925887047604
363,jiangkou,cn,25.611242726699587,119.15192372097545
364,hirara,jp,25.611242726699587,126.27458857147485
365,naze,jp,25.611242726699587,133.39725342197426
366,shimoda,jp,25.611242726699587,140.51991827247366
367,hasaki,jp,25.611242726699587,154.76524797347253
368,half moon bay,us,32.034089544849564,-134.54099760162416
369,pacific grove,us,32.034089544849564,-126.96449720189486
370,rancho palos verdes,us,32.034089544849564,-119.38799680216556
371,marana,us,32.034089544849564,-111.81149640243625
372,carlsbad,us,32.034089544849564,-104.23499600270694
373,corsicana,us,32.034089544849564,-96.65849560297764
374,laurel,us,32.034089544849564,-89.08199520324833
375,fort stewart,us,32.034089544849564,-81.50549480351903
376,havelock,us,32.034089544849564,-73.92899440378972
377,hamilton,bm,32.034089544849564,-66.35249400406042
378,saint george,bm,32.034089544849564,-58.775993604331106
379,ribeira grande,pt,32.034089544849564,-43.622992804872496
380,ponta delgada,pt,32.034089544849564,-28.46999200541387
381,ponta do sol,pt,32.034089544849564,-20.893491605684574
382,teguise,es,32.034089544849564,-13.316991205955276
383,mrirt,ma,32.034089544849564,-5.740490806225978
384,aflu,dz,32.034089544849564,1.8360095935033485
385,tatawin,tn,32.034089544849564,9.412509993232646
386,surt,ly,32.034089544849564,16.989010392961944
387,tubruq,ly,32.034089544849564,24.56551079269127
388,damietta,eg,32.034089544849564,32.14201119242057
389,turayf,sa,32.034089544849564,39.718511592149866
390,dehloran,ir,32.034089544849564,47.295011991879164
391,yazd,ir,32.034089544849564,54.87151239160849
392,farah,af,32.034089544849564,62.44801279133779
393,tank,pk,32.034089544849564,70.02451319106709
394,banjar,in,32.034089544849564,77.60101359079641
395,pokhara,np,32.034089544849564,85.17751399052571
396,lasa,cn,32.034089544849564,92.75401439025501
397,yaan,cn,32.034089544849564,100.3305147899843
398,daxian,cn,32.034089544849564,107.9070151897136
399,gushi,cn,32.034089544849564,115.4835155894429
400,huilong,cn,32.034089544849564,123.06001598917226
401,okuchi,jp,32.034089544849564,130.63651638890155
402,oyama,jp,32.034089544849564,138.21301678863085
403,sentyabrskiy,ru,32.034089544849564,160.94251798781875
404,severo-kurilsk,ru,32.034089544849564,168.51901838754804
405,fortuna,us,38.45693636299953,-138.98962360361068
406,santa rosa,us,38.45693636299953,-122.58547304505497
407,cedar city,us,38.45693636299953,-114.3833977657771
408,canon city,us,38.45693636299953,-106.18132248649924
409,hutchinson,us,38.45693636299953,-97.97924720722138
410,shiloh,us,38.45693636299953,-89.77717192794351
411,charleston,us,38.45693636299953,-81.57509664866566
412,brigantine,us,38.45693636299953,-73.3730213693878
413,shelburne,ca,38.45693636299953,-65.17094609010994
414,louisbourg,ca,38.45693636299953,-56.96887081083207
415,torbay,ca,38.45693636299953,-48.76679553155421
416,vila franca do campo,pt,38.45693636299953,-24.160569693720618
417,camacha,pt,38.45693636299953,-15.958494414442754
418,evora,pt,38.45693636299953,-7.75641913516489
419,denia,es,38.45693636299953,0.4456561441129736
420,carbonia,it,38.45693636299953,8.647731423390837
421,soverato,it,38.45693636299953,16.849806702668673
422,andros,gr,38.45693636299953,25.051881981946536
423,eskil,tr,38.45693636299953,33.2539572612244
424,kozluk,tr,38.45693636299953,41.456032540502264
425,astara,az,38.45693636299953,49.65810781978013
426,baherden,tm,38.45693636299953,57.86018309905799
427,koson,uz,38.45693636299953,66.06225837833586
428,kashi,cn,38.45693636299953,74.26433365761372
429,kuche,cn,38.45693636299953,82.46640893689158
430,hami,cn,38.45693636299953,90.66848421616942
431,jiuquan,cn,38.45693636299953,98.87055949544731
432,yinchuan,cn,38.45693636299953,107.07263477472515
433,dingzhou,cn,38.45693636299953,115.27471005400304
434,zhuanghe,cn,38.45693636299953,123.47678533328087
435,izumo,jp,38.45693636299953,131.67886061255876
436,tsuruoka,jp,38.45693636299953,139.8809358918366
437,nemuro,jp,38.45693636299953,148.0830111711145
438,provideniya,ru,44.87978318114952,-180.0
439,bethel,us,44.87978318114952,-170.9357214363869
440,kodiak,us,44.87978318114952,-152.8071643091607
441,sitka,us,44.87978318114952,-143.7428857455476
442,port hardy,ca,44.87978318114952,-134.67860718193452
443,newport,us,44.87978318114952,-125.61432861832142
444,weiser,us,44.87978318114952,-116.55005005470832
445,sheridan,us,44.87978318114952,-107.48577149109522
446,huron,us,44.87978318114952,-98.42149292748212
447,weston,us,44.87978318114952,-89.35721436386902
448,thornbury,ca,44.87978318114952,-80.29293580025593
449,berlin,us,44.87978318114952,-71.22865723664283
450,antigonish,ca,44.87978318114952,-62.16437867302973
451,bay roberts,ca,44.87978318114952,-53.100100109416644
452,lagoa,pt,44.87978318114952,-25.90726441857734
453,muros,es,44.87978318114952,-16.84298585496424
454,cervo,es,44.87978318114952,-7.7787072913511395
455,sarlat-la-caneda,fr,44.87978318114952,1.2855712722619614
456,parma,it,44.87978318114952,10.349849835875034
457,bogatic,rs,44.87978318114952,19.414128399488135
458,ciucurova,ro,44.87978318114952,28.478406963101236
459,rayevskaya,ru,44.87978318114952,37.54268552671434
460,kochubey,ru,44.87978318114952,46.60696409032744
461,beyneu,kz,44.87978318114952,55.67124265394054
462,tasbuget,kz,44.87978318114952,64.73552121755364
463,saryshagan,kz,44.87978318114952,73.79979978116671
464,yining,cn,44.87978318114952,82.86407834477984
465,hovd,mn,44.87978318114952,100.99263547200604
466,darhan,mn,44.87978318114952,110.05691403561912
467,chifeng,cn,44.87978318114952,119.12119259923219
468,weihe,cn,44.87978318114952,128.18547116284532
469,terney,ru,44.87978318114952,137.2497497264584
470,otradnoye,ru,44.87978318114952,146.31402829007152
471,petropavlovsk-kamchatskiy,ru,44.87978318114952,164.44258541729772
472,revelstoke,ca,51.302629999299484,-118.36106881545165
473,rosetown,ca,51.302629999299484,-108.08791361802692
474,gimli,ca,51.302629999299484,-97.81475842060219
475,geraldton,ca,51.302629999299484,-87.54160322317746
476,matagami,ca,51.302629999299484,-77.26844802575273
477,sept-iles,ca,51.302629999299484,-66.995292828328
478,saint anthony,ca,51.302629999299484,-56.72213763090329
479,bonavista,ca,51.302629999299484,-46.44898243347856
480,nanortalik,gl,51.302629999299484,-36.175827236053834
481,dingle,ie,51.302629999299484,-15.629516841204378
482,haverfordwest,gb,51.302629999299484,-5.35636164377965
483,turnhout,be,51.302629999299484,4.916793553645078
484,luban,pl,51.302629999299484,15.189948751069807
485,lukiv,ua,51.302629999299484,25.463103948494535
486,bolshoye soldatskoye,ru,51.302629999299484,35.73625914591926
487,privolzhskiy,ru,51.302629999299484,46.00941434334399
488,dubenskiy,ru,51.302629999299484,56.28256954076872
489,derzhavinsk,kz,51.302629999299484,66.55572473819342
490,aksu,kz,51.302629999299484,76.82887993561815
491,choya,ru,51.302629999299484,87.10203513304288
492,kungurtug,ru,51.302629999299484,97.3751903304676
493,tarbagatay,ru,51.302629999299484,107.64834552789233
494,vershino-shakhtaminskiy,ru,51.302629999299484,117.92150072531706
495,svobodnyy,ru,51.302629999299484,128.1946559227418
496,gurskoye,ru,51.302629999299484,138.46781112016652
497,vostok,ru,51.302629999299484,148.74096631759124
498,nikolskoye,ru,51.302629999299484,169.2872767124407
499,egvekinot,ru,57.725476817449476,-180.0
500,palmer,us,57.725476817449476,-143.9149993328749
501,ketchikan,us,57.725476817449476,-131.88666577716654
502,fort saint john,ca,57.725476817449476,-119.85833222145818
503,la ronge,ca,57.725476817449476,-107.82999866574983
504,thompson,ca,57.725476817449476,-95.80166511004145
505,attawapiskat,ca,57.725476817449476,-83.7733315543331
506,iqaluit,ca,57.725476817449476,-71.74499799862474
507,saint-augustin,ca,57.725476817449476,-59.71666444291637
508,qaqortoq,gl,57.725476817449476,-47.688330887208
509,tasiilaq,gl,57.725476817449476,-35.65999733149965
510,grindavik,is,57.725476817449476,-23.63166377579128
511,ballina,ie,57.725476817449476,-11.60333022008291
512,peterhead,gb,57.725476817449476,0.42500333562543346
513,lerum,se,57.725476817449476,12.453336891333805
514,salacgriva,lv,57.725476817449476,24.481670447042177
515,bezhetsk,ru,57.725476817449476,36.51000400275052
516,arbazh,ru,57.725476817449476,48.53833755845889
517,petrokamenskoye,ru,57.725476817449476,60.566671114167264
518,tevriz,ru,57.725476817449476,72.5950046698756
519,krasnyy yar,ru,57.725476817449476,84.623338225584
520,chunoyar,ru,57.725476817449476,96.65167178129235
521,alekseyevsk,ru,57.725476817449476,108.6800053370007
